Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
3/18/1996,3.686939567,3.686939567,3.641421795,3.641421795,35200,0,0
3/19/1996,3.686940908,3.686940908,3.686940908,3.686940908,500,0,0
3/21/1996,3.732458591,3.732458591,3.732458591,3.732458591,37700,0,0
3/22/1996,3.732458591,3.732458591,3.732458591,3.732458591,600,0,0
3/25/1996,3.732458591,3.732458591,3.732458591,3.732458591,500,0,0
3/26/1996,3.732458591,3.732458591,3.732458591,3.732458591,0,0,0
3/27/1996,3.732458591,3.732458591,3.732458591,3.732458591,400,0,0
3/28/1996,3.732458591,3.732458591,3.732458591,3.732458591,100,0,0
3/29/1996,3.686940804,3.732458591,3.686940804,3.732458591,200200,0,0
4/1/1996,3.777975321,3.777975321,3.777975321,3.777975321,900,0,0
4/2/1996,3.777975321,3.777975321,3.777975321,3.777975321,3700,0,0
4/3/1996,3.732458591,3.732458591,3.709699698,3.732458591,5300,0,0
4/4/1996,3.777975321,3.777975321,3.777975321,3.777975321,100,0,0
4/8/1996,3.686940974,3.709699869,3.686940974,3.709699869,10300,0,0
4/9/1996,3.75521636,3.75521636,3.75521636,3.75521636,10000,0,0
4/10/1996,3.755217485,3.777976379,3.732458591,3.732458591,8600,0,0
4/15/1996,3.777975466,3.823493242,3.777975466,3.823493242,65300,0,0
4/16/1996,3.823493169,3.823493169,3.777975394,3.800734282,16000,0,0
4/17/1996,3.800734282,3.800734282,3.800734282,3.800734282,1300,0,0
4/18/1996,3.777975466,3.823493242,3.777975466,3.823493242,19200,0,0
4/19/1996,3.823493242,3.823493242,3.823493242,3.823493242,2200,0,0
4/22/1996,3.846252131,3.846252131,3.823493242,3.823493242,1400,0,0
4/23/1996,3.869010687,3.891769573,3.869010687,3.869010687,246000,0,0
4/24/1996,3.891770363,3.891770363,3.891770363,3.891770363,5400,0,0
4/25/1996,3.891770363,3.914529254,3.891770363,3.891770363,21100,0,0
4/26/1996,3.937289,3.960047896,3.914530104,3.937289,51800,0,0
4/29/1996,3.960047348,3.960047348,3.891770669,3.914529562,35900,0,0
4/30/1996,3.891770363,3.891770363,3.891770363,3.891770363,1600,0,0
5/1/1996,3.891770363,3.891770363,3.869011472,3.891770363,3900,0,0
5/2/1996,3.914530104,3.960047896,3.891771208,3.937289,145600,0,0
5/3/1996,3.937289,3.937289,3.914530104,3.937289,19000,0,0
5/6/1996,3.960047348,3.960047348,3.914529562,3.914529562,51500,0,0
5/7/1996,3.937289,3.937289,3.937289,3.937289,14600,0,0
5/8/1996,3.937289,3.937289,3.891771208,3.937289,16500,0,0
5/9/1996,3.914529562,3.914529562,3.891770669,3.914529562,4000,0,0
5/10/1996,3.914529562,3.914529562,3.914529562,3.914529562,1000,0,0
5/13/1996,3.891769016,3.891769016,3.846251249,3.846251249,25500,0,0
5/14/1996,3.891770669,3.914529562,3.891770669,3.914529562,2100,0,0
5/15/1996,3.869011472,3.891770363,3.869011472,3.891770363,3100,0,0
5/16/1996,3.846251249,3.869010132,3.800733483,3.846251249,18300,0,0
5/17/1996,3.800733483,3.846251249,3.800733483,3.846251249,5100,0,0
5/20/1996,3.823492914,3.869010687,3.823492914,3.869010687,3500,0,0
5/21/1996,3.914527899,3.937286782,3.800733483,3.846251249,29000,0,0
5/22/1996,3.846251249,3.846251249,3.846251249,3.846251249,700,0,0
5/23/1996,3.846251249,3.846251249,3.846251249,3.846251249,7700,0,0
5/24/1996,3.846251249,3.846251249,3.846251249,3.846251249,900,0,0
5/28/1996,3.869010132,3.869010132,3.846251249,3.846251249,600,0,0
5/29/1996,3.869010687,3.869010687,3.869010687,3.869010687,12000,0,0
5/30/1996,3.869010132,3.869010132,3.846251249,3.846251249,3600,0,0
5/31/1996,3.869010687,3.869010687,3.869010687,3.869010687,7600,0,0
6/3/1996,3.823493096,3.823493096,3.777975321,3.777975321,3400,0,0
6/4/1996,3.823493242,3.823493242,3.823493242,3.823493242,7100,0,0
6/5/1996,3.800734282,3.800734282,3.800734282,3.800734282,2300,0,0
