Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
3/18/1996,43.12737429,43.30707169,43.12737429,43.30707169,16300,0,0
3/19/1996,43.12737274,43.12737274,43.12737274,43.12737274,2500,0,0
3/20/1996,43.12737274,43.12737274,43.12737274,43.12737274,4350,0,0
3/21/1996,43.48675044,44.2055397,43.48675044,44.2055397,18300,0,0
3/22/1996,43.84617004,44.20556488,43.84617004,44.02586746,19825,0,0
3/25/1996,44.56494746,44.56494746,44.02585535,44.38525009,65275,0,0
3/26/1996,44.38525009,44.56494746,44.20555272,44.38525009,94075,0,0
3/27/1996,44.74464417,44.92434153,44.5649468,44.74464417,24000,0,0
3/28/1996,44.5649468,44.92434153,44.5649468,44.74464417,102575,0,0
3/29/1996,44.92433708,45.28373177,44.92433708,45.10403442,254525,0,0
4/1/1996,45.28373177,45.28373177,45.10403442,45.10403442,80875,0,0
4/2/1996,45.28374255,45.46343994,45.28374255,45.46343994,6100,0,0
4/3/1996,45.28373177,45.28373177,44.92433708,45.10403442,25775,0,0
4/4/1996,45.10402841,45.28372574,45.10402841,45.28372574,25450,0,0
4/8/1996,44.9243361,44.9243361,44.56494141,44.56494141,15525,0,0
4/9/1996,45.10402841,45.28372574,44.92433109,45.28372574,276600,0,0
4/10/1996,45.10404814,45.28374554,44.92435074,44.92435074,71350,0,0
4/11/1996,44.92435074,45.10404814,44.92435074,44.92435074,1300,0,0
4/12/1996,44.92433708,45.10403442,44.92433708,45.10403442,450,0,0
4/15/1996,45.10402841,45.28372574,45.10402841,45.28372574,131250,0,0
4/16/1996,45.10402841,45.46342306,45.10402841,45.28372574,60900,0,0
4/17/1996,45.10403442,45.10403442,44.92433708,45.10403442,18300,0,0
4/18/1996,45.28372574,45.46342306,45.10402841,45.28372574,21350,0,0
4/19/1996,45.64313283,46.00252757,45.64313283,45.8228302,9750,0,0
4/22/1996,46.36191968,47.26040649,46.36191968,47.26040649,35500,0,0
4/23/1996,46.72130745,46.90100479,46.72130745,46.90100479,11975,0,0
4/24/1996,46.90100956,47.44010162,46.90100956,47.44010162,260600,0,0
4/25/1996,47.08070913,47.44010386,47.08070913,47.26040649,6550,0,0
4/26/1996,47.61979898,47.61979898,47.08070691,47.44010162,7600,0,0
4/29/1996,47.44010611,47.61980348,47.08071136,47.08071136,10700,0,0
4/30/1996,47.26040649,47.26040649,47.08070913,47.26040649,10425,0,0
