Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
6/23/2000,23.79389954,23.79389954,23.79389954,23.79389954,450,0,0
6/26/2000,23.33337784,23.33337784,23.33337784,23.33337784,250,0,0
6/27/2000,23.10310947,23.2566185,23.02635495,23.2566185,2200,0,0
6/28/2000,23.1798687,23.1798687,23.1798687,23.1798687,500,0,0
6/29/2000,23.1798687,23.1798687,23.1798687,23.1798687,0,0,0
6/30/2000,23.02635765,23.02635765,23.02635765,23.02635765,12150,0,0
7/3/2000,23.02635765,23.02635765,23.02635765,23.02635765,0,0,0
7/5/2000,23.71714502,23.79389954,23.71714502,23.79389954,16150,0,0
7/6/2000,23.25661871,23.56363678,23.25661871,23.56363678,25300,0,0
7/7/2000,23.02635674,23.17986579,23.02635674,23.10311127,18050,0,0
7/10/2000,22.87285042,22.87285042,22.87285042,22.87285042,100,0,0
7/11/2000,22.94960193,22.94960193,22.64258385,22.64258385,350,0,0
7/12/2000,22.56583023,22.56583023,22.56583023,22.56583023,100,0,0
7/13/2000,22.56583139,22.94960403,22.56583139,22.94960403,700,0,0
7/14/2000,23.33337693,23.41013145,23.33337693,23.41013145,1850,0,0
7/17/2000,23.79391005,23.8706646,23.79391005,23.8706646,4500,0,0
7/18/2000,22.87285042,22.87285042,22.87285042,22.87285042,850,0,0
7/19/2000,22.87284925,22.87284925,22.48907661,22.48907661,800,0,0
7/20/2000,22.25881213,22.56583023,22.25881213,22.56583023,5600,0,0
7/21/2000,21.95179367,21.95179367,21.95179367,21.95179367,200,0,0
7/24/2000,21.95179367,21.95179367,21.95179367,21.95179367,0,0,0
7/28/2000,22.18205833,22.18205833,22.18205833,22.18205833,250,0,0
7/31/2000,22.18205833,22.18205833,22.18205833,22.18205833,0,0,0
8/4/2000,22.18205542,22.18205542,22.02854639,22.1053009,13900,0,0
8/7/2000,21.95179367,21.95179367,21.95179367,21.95179367,139850,0,0
8/8/2000,21.95179277,22.02854729,21.95179277,22.02854729,900,0,0
8/9/2000,22.10530398,22.56583114,22.10530398,22.48907661,25450,0,0
8/10/2000,22.64258385,22.64258385,22.56582933,22.64258385,950850,0,0
8/14/2000,21.87503815,21.87503815,21.56802007,21.87503815,900,0,0
8/15/2000,21.95179367,21.95179367,21.95179367,21.95179367,250,0,0
8/16/2000,22.41231918,22.64258274,22.33556467,22.41231918,22450,0,0
8/17/2000,22.71933847,22.79609299,22.71933847,22.79609299,550,0,0
8/18/2000,22.87285042,22.87285042,22.87285042,22.87285042,5000,0,0
8/21/2000,22.87285042,23.10311401,22.79609589,22.87285042,1200,0,0
8/22/2000,23.02635765,23.02635765,23.02635765,23.02635765,16400,0,0
8/24/2000,22.20012549,22.76317215,22.20012549,22.76317215,9050,1.716,0
8/25/2000,22.52186584,22.52186584,22.52186584,22.52186584,950,0,0
8/28/2000,21.39577121,22.03925305,21.39577121,21.71751213,15400,0,0
8/29/2000,22.11969038,22.11969038,21.79794943,22.03925514,250,0,0
8/30/2000,21.55664488,21.55664488,21.47620964,21.47620964,500,0,0
