Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1/2/2008,619.039978,630.4799805,617.6799927,627.7600098,554875,0,0
1/3/2008,629.039978,632.7199707,622.3200073,626.960022,626013,0,0
1/4/2008,621.5999756,622.4799805,613.6799927,618.4799805,518175,0,0
1/7/2008,616.5599976,616.5599976,597.3599854,604,549188,0,0
1/8/2008,613.6799927,616.5599976,606.1599731,608.4799805,325600,0,0
1/9/2008,605.2000122,618.1599731,602,602,617450,0,0
1/10/2008,592.960022,597.2800293,588.0800171,592.1599731,550363,0,0
1/11/2008,586.960022,589.9199829,582,584.7199707,396738,0,0
1/14/2008,592.5599976,595.7600098,587.2000122,594,279813,0,0
1/15/2008,584.3200073,585.3599854,576.0800171,582.2399902,613575,0,0
1/16/2008,576.6400146,578.4000244,563.9199829,574.7999878,518863,0,0
1/17/2008,578.0800171,580.4799805,564.4799805,568.2399902,516425,0,0
1/18/2008,572.2399902,575.1199951,565.6799927,572.3200073,276613,0,0
1/22/2008,555.5999756,568.3200073,552.7999878,564.4000244,578038,0,0
1/23/2008,555.5999756,560.6400146,549.039978,556,663213,0,0
1/24/2008,558,569.3599854,552.0800171,567.4400024,627675,0,0
1/25/2008,576,579.6799927,568.8800049,575.2800293,630425,0,0
1/28/2008,569.039978,579.7600098,563.2000122,578.7999878,394488,0,0
1/29/2008,573.039978,583.8400269,573.039978,583.8400269,223888,0,0
1/30/2008,585.1199951,587.4400024,578.960022,584.6400146,333288,0,0
1/31/2008,574.5599976,585.5999756,568.5599976,578.7999878,318013,0,0
2/1/2008,577.3599854,578,561.3599854,563.7600098,419725,0,0
2/4/2008,565.2000122,576.4000244,562.7999878,570.960022,417875,0,0
2/5/2008,563.4400024,564.1599731,555.4400024,561.2000122,670988,0,0
2/6/2008,563.8400269,564,550,552.1599731,509738,0,0
2/7/2008,548.960022,560.5599976,548.5599976,558.4000244,408625,0,0
2/8/2008,566.2399902,583.2000122,565.2800293,583.2000122,834775,0,0
2/11/2008,581.3599854,600.7199707,576.7999878,596.4000244,627388,0,0
2/12/2008,589.5200195,597.1199951,585.7600098,588.7199707,318975,0,0
2/13/2008,586.4000244,596.2399902,584,592.8800049,277500,0,0
2/14/2008,598.960022,606.960022,597.9199829,606.0800171,328275,0,0
2/15/2008,611.5200195,612.7999878,600.2399902,607.4400024,419900,0,0
2/19/2008,623.6799927,633.2800293,619.3599854,630.4799805,535713,0,0
2/20/2008,625.1199951,639.1199951,621.7600098,634.5599976,475800,0,0
2/21/2008,627.5999756,634.1599731,614.8800049,618.6400146,765400,0,0
2/22/2008,627.039978,630.0800171,617.1199951,628.7999878,576300,0,0
2/25/2008,626.8800049,632.6400146,620.6400146,629.9199829,324800,0,0
2/26/2008,628.4000244,642.2399902,626.7199707,640.7999878,532413,0,0
2/27/2008,639.2800293,642.8800049,631.3599854,631.3599854,467175,0,0
2/28/2008,637.9199829,653.6799927,636.8800049,651.8400269,407750,0,0
2/29/2008,649.039978,651.8400269,643.3599854,643.3599854,389638,0,0
3/3/2008,651.8400269,659.8400269,644.8800049,650.5599976,630563,0,0
3/4/2008,653.8400269,656,628,635.2000122,773688,0,0
3/5/2008,643.9199829,666.4000244,642.6400146,666.4000244,946075,0,0
3/6/2008,662.3200073,671.1199951,653.039978,671.1199951,712688,0,0
3/7/2008,666.4799805,676.2399902,660.2399902,669.8400269,673200,0,0
3/10/2008,664.5599976,685.039978,660.2399902,685.039978,767475,0,0
3/11/2008,684,690.7199707,674.3200073,690.7199707,1223838,0,0
3/12/2008,688.0800171,696.0800171,678,695.3599854,1155763,0,0
3/13/2008,696.1599731,702.3200073,687.8400269,697.6799927,962188,0,0
3/14/2008,695.9199829,702.0800171,688.4799805,692.0800171,1072550,0,0
3/17/2008,671.3599854,686.7999878,651.8400269,666.4000244,1455100,0,0
3/18/2008,678.2399902,696.3200073,673.5200195,686.4000244,1083463,0,0
3/19/2008,676.5599976,688,654.4799805,658.3200073,1368825,0,0
3/20/2008,637.5999756,655.6799927,636.7199707,650.4000244,1468475,0,0
3/24/2008,647.6799927,656.1599731,640.6400146,642.0800171,531513,0,0
3/25/2008,646,652.960022,635.2000122,651.7600098,592575,0,0
3/26/2008,656.2399902,681.8400269,655.8400269,678.4799805,770750,0,0
3/27/2008,680.5599976,693.1199951,677.1199951,685.8400269,590138,0,0
3/28/2008,680.0800171,680.0800171,670.960022,674.960022,612325,0,0
3/31/2008,677.7600098,684,642.8800049,650.8800049,975513,0,0
4/1/2008,640,656.7199707,638.1599731,648.4799805,670963,0,0
4/2/2008,646.4000244,672.7999878,639.6799927,670.2399902,772800,0,0
4/3/2008,663.2000122,681.5999756,661.1199951,669.2000122,676438,0,0
4/4/2008,675.5200195,680.960022,670.7999878,679.039978,553075,0,0
4/7/2008,691.9199829,701.039978,691.9199829,695.4400024,533788,0,0
4/8/2008,696,700.6400146,689.5999756,697.5200195,440988,0,0
4/9/2008,696.7199707,717.5999756,695.5200195,711.2000122,1025363,0,0
4/10/2008,712.6400146,712.7199707,697.1199951,705.4400024,802488,0,0
4/11/2008,701.2000122,708.5599976,698.960022,707.8400269,478888,0,0
4/14/2008,710.7999878,717.6799927,707.5999756,717.1199951,539688,0,0
4/15/2008,728.0800171,731.5200195,725.3599854,731.5200195,634438,0,0
4/16/2008,729.7600098,738.4000244,720.1599731,737.2000122,986750,0,0
4/17/2008,737.3599854,740.8800049,732.960022,738.960022,596563,0,0
4/18/2008,727.8400269,750.7199707,727.2000122,750.3200073,1150325,0,0
4/21/2008,747.7600098,755.039978,741.5200195,755.039978,585225,0,0
4/22/2008,749.4400024,766.6400146,748.7999878,760.6400146,894863,0,0
4/23/2008,755.2000122,764.0800171,750.4799805,761.4400024,1059863,0,0
4/24/2008,747.2000122,758.7999878,736.4799805,745.5999756,1388750,0,0
4/25/2008,759.5200195,770.2399902,756.4000244,765.2800293,1125213,0,0
4/28/2008,766.960022,769.9199829,762,765.5200195,606150,0,0
4/29/2008,751.3599854,756.2399902,741.2000122,743.9199829,950225,0,0
4/30/2008,748.6400146,754.7199707,730.4799805,740,1191338,0,0
5/1/2008,726.2399902,728.7999878,711.1199951,723.039978,977400,0,0
5/2/2008,728.7999878,750.7199707,728.7999878,747.2000122,861488,0,0
5/5/2008,761.8400269,775.3599854,760.8800049,773.9199829,917213,0,0
5/6/2008,775.7600098,790.7199707,775.2000122,787.039978,946950,0,0
5/7/2008,785.8400269,799.3599854,776.960022,798.4000244,1692338,0,0
5/8/2008,796,806.1599731,786.4000244,805.2800293,1225888,0,0
5/9/2008,814,816.960022,805.5200195,816.960022,1524588,0,0
5/12/2008,806.5599976,817.5999756,800.5599976,800.8800049,1256275,0,0
5/13/2008,800.960022,819.7600098,799.8400269,813.6799927,1497000,0,0
5/14/2008,809.8400269,816,800,801.7600098,1138188,0,0
5/15/2008,816,817.4400024,781.5200195,801.6799927,2030875,0,0
5/16/2008,822.8800049,823.8400269,810.7199707,818.1599731,2208500,0,0
5/19/2008,819.5999756,824,810.0800171,822.4000244,960300,0,0
5/20/2008,831.2800293,836.960022,829.2800293,834.4000244,1267525,0,0
5/21/2008,836.8800049,866.4799805,832.4799805,866.4799805,2145613,0,0
5/22/2008,862.4000244,866.8800049,842.2399902,845.039978,2510988,0,0
5/23/2008,863.3599854,865.7600098,843.039978,855.5999756,1728350,0,0
5/27/2008,842.6400146,847.2000122,830.0800171,834.0800171,1359088,0,0
5/28/2008,824.0800171,852,820.0800171,847.3599854,1679575,0,0
5/29/2008,835.2000122,862.4000244,816.960022,818.0800171,2728800,0,0
5/30/2008,825.6799927,830.8800049,810.1599731,824.4799805,1348750,0,0
6/2/2008,815.5200195,837.6799927,813.6799927,824.4000244,1017900,0,0
6/3/2008,817.6799927,821.5200195,792,805.2000122,1221750,0,0
6/4/2008,798.960022,823.9199829,788.960022,791.8400269,1475813,0,0
6/5/2008,801.1199951,831.5999756,793.9199829,831.5999756,1558638,0,0
6/6/2008,867.4400024,904,858.5599976,897.3599854,4141775,0,0
6/9/2008,880.1599731,892.960022,863.4400024,872.4000244,1714813,0,0
6/10/2008,881.039978,891.2800293,849.9199829,856.1599731,2465475,0,0
6/11/2008,870.1599731,898.4000244,866.4799805,887.9199829,2239475,0,0
6/12/2008,864.0800171,893.2000122,855.6799927,890.1599731,1768575,0,0
6/13/2008,871.3599854,882.3200073,868,873.5999756,1242575,0,0
6/16/2008,902,902,864.5599976,871.9199829,1523525,0,0
6/17/2008,866.1599731,879.039978,864.2399902,869.4400024,1527938,0,0
6/18/2008,870,888.8800049,856.960022,887.1199951,1566138,0,0
6/19/2008,886.3200073,886.3200073,855.2000122,855.2800293,2233250,0,0
6/20/2008,877.5999756,889.7600098,868.7999878,873.1199951,2001150,0,0
6/23/2008,875.6799927,894.5599976,875.2800293,887.3599854,1513500,0,0
6/24/2008,883.4400024,893.5999756,880,887.5999756,1193625,0,0
6/25/2008,882.1599731,883.2000122,854.6400146,868,1743438,0,0
6/26/2008,891.039978,908.7999878,886.4799805,904.960022,1909275,0,0
6/27/2008,910.960022,926.1599731,905.2000122,910,1773950,0,0
6/30/2008,921.2800293,922.6400146,901.2000122,909.2800293,1493850,0,0
7/1/2008,925.5200195,927.8400269,907.5200195,916.7199707,1648513,0,0
7/2/2008,910.4799805,937.8400269,909.5200195,934.7199707,2266988,0,0
7/3/2008,934.3200073,939.6799927,927.3599854,934.5599976,1158500,0,0
7/7/2008,914.3200073,928.960022,903.7600098,919.5999756,1709525,0,0
7/8/2008,892,893.5999756,875.6799927,879.3599854,2107900,0,0
7/9/2008,887.5200195,894.4799805,876.4000244,877.2000122,2319950,0,0
7/10/2008,891.5200195,919.3599854,883.6799927,914.7199707,1542875,0,0
7/11/2008,952.6400146,953.3599854,924.7199707,939.1199951,1859913,0,0
7/14/2008,940,948,932,939.8400269,940838,0,0
7/15/2008,941.5999756,944.1599731,880.6400146,899.1199951,3450950,0,0
7/16/2008,892.1599731,895.5200195,855.7600098,874,2634125,0,0
7/17/2008,870.8800049,885.9199829,837.2000122,844.2399902,2775838,0,0
7/18/2008,846.7199707,852.5599976,831.2800293,835.5200195,1727925,0,0
7/21/2008,840.7999878,855.8400269,832.5599976,853.3599854,1193900,0,0
7/22/2008,841.5999756,842.6400146,814.960022,826.5599976,1697250,0,0
7/23/2008,819.1199951,829.8400269,800,800.1599731,2239250,0,0
7/24/2008,811.039978,815.4400024,796.4000244,811.6799927,1507450,0,0
7/25/2008,802.6400146,803.2800293,790.0800171,794.1599731,1784425,0,0
7/28/2008,798.4000244,805.2800293,790.6400146,804.3200073,1211425,0,0
7/29/2008,799.7600098,799.9199829,776.2399902,784.3200073,1877688,0,0
7/30/2008,786,821.2800293,778.7999878,817.039978,2491538,0,0
7/31/2008,817.8400269,817.8400269,791.9199829,799.9199829,1724700,0,0
8/1/2008,796.960022,829.1199951,796,808.3200073,1553825,0,0
8/4/2008,801.2000122,812.7999878,770.7999878,780.1599731,1949313,0,0
8/5/2008,773.039978,782,763.4400024,764.7199707,1485700,0,0
8/6/2008,770.4000244,776.8800049,755.5999756,763.3599854,2058988,0,0
8/7/2008,777.3599854,779.8400269,760.2399902,771.5200195,1414488,0,0
8/8/2008,761.039978,763.039978,740.1599731,741.4400024,1327888,0,0
8/11/2008,748.4000244,750.1599731,728.6400146,740.0800171,1612650,0,0
8/12/2008,743.5999756,744.4799805,726.4000244,731.9199829,1686550,0,0
8/13/2008,733.9199829,758.1599731,732.960022,750,2064000,0,0
8/14/2008,745.5999756,754.5599976,728.3200073,741.9199829,1236375,0,0
8/15/2008,731.7600098,737.5999756,720.3200073,734.4000244,1767025,0,0
8/18/2008,741.1199951,745.039978,723.7600098,730.0800171,1264000,0,0
8/19/2008,728.4799805,754,718.6400146,741.9199829,1762713,0,0
8/20/2008,749.4400024,755.6799927,727.5999756,751.8400269,1828025,0,0
