Date,MSFT,WMT
2021-03-22,235.990005,132.369995
2021-03-23,237.580002,133.940002
2021-03-24,235.460007,133.110001
2021-03-25,232.339996,134.009995
2021-03-26,236.479996,135.130005
2021-03-27,235.240005,136.669998
2021-03-28,231.850006,135.740005
2021-03-29,235.770004,135.830002
2021-03-30,242.350006,135.619995
2021-03-31,249.070007,139.429993
2021-04-01,247.860001,140.100006
2021-04-02,249.899994,139.800003
2021-04-03,253.25,139.710007
2021-04-04,255.850006,139.779999
2021-04-05,255.910004,139.800003
2021-04-06,258.48999,139.369995
2021-04-07,255.589996,139.320007
2021-04-08,259.5,140.160004
2021-04-09,260.73999,140.610001
2021-04-10,258.73999,139.710007
2021-04-11,258.26001,140.789993
2021-04-12,260.579987,141.199997
2021-04-13,257.170013,139.669998
2021-04-14,261.149994,139.899994
2021-04-15,261.549988,137.910004
2021-04-16,261.970001,138.380005
2021-04-17,254.559998,137.889999
2021-04-18,252.509995,139.630005
2021-04-19,252.179993,139.910004
2021-04-20,251.860001,142.119995
2021-04-21,247.789993,140.720001
2021-04-22,246.470001,140.600006
2021-04-23,249.729996,141.050003
2021-04-24,252.460007,140.199997
2021-04-25,247.179993,140.820007
2021-04-26,246.229996,139.550003
2021-04-27,239,135.940002
2021-04-28,243.029999,138.240005
2021-04-29,248.149994,139.520004
2021-04-30,245.179993,138.889999
2021-05-01,243.080002,141.910004
2021-05-02,243.119995,141.919998
2021-05-03,246.479996,142.419998
2021-05-04,245.169998,141.75
2021-05-05,250.779999,141.759995
2021-05-06,251.720001,142.339996
2021-05-07,251.490005,142.169998
2021-05-08,249.309998,141.690002
2021-05-09,249.679993,142.029999
2021-05-10,247.399994,141.660004
2021-05-11,247.300003,141.350006
2021-05-12,245.710007,141.600006
2021-05-13,250.789993,141.850006
2021-05-14,253.809998,140.899994
2021-05-15,252.570007,139.830002
2021-05-16,253.589996,139.080002
2021-05-17,257.23999,139.880005
2021-05-18,257.890015,140.75
2021-05-19,259.890015,140.559998
2021-05-20,258.359985,140
2021-05-21,257.380005,137.149994
2021-05-22,260.899994,137.720001
2021-05-23,259.429993,135.169998
2021-05-24,262.630005,136.399994
2021-05-25,265.51001,137.029999
2021-05-26,265.269989,135.960007
2021-05-27,266.690002,136.910004
2021-05-28,265.019989,138.529999
2021-05-29,268.720001,138.100006
2021-05-30,271.399994,137.300003
2021-05-31,270.899994,141.020004
2021-06-01,271.600006,139.320007
2021-06-02,277.649994,140.110001
2021-06-03,277.660004,139.940002
2021-06-04,279.929993,139.710007
2021-06-05,277.420013,139.589996
2021-06-06,277.940002,140.300003
2021-06-07,277.320007,140.050003
2021-06-08,280.980011,140.580002
2021-06-09,282.51001,141.550003
2021-06-10,281.029999,141.660004
2021-06-11,280.75,141.559998
2021-06-12,277.01001,141.229996
2021-06-13,279.320007,141.869995
2021-06-14,281.399994,141.169998
2021-06-15,286.140015,141.270004
2021-06-16,289.670013,142.429993
2021-06-17,289.049988,142.630005
2021-06-18,286.540009,142.639999
2021-06-19,286.220001,142.059998
2021-06-20,286.5,142.240005
2021-06-21,284.910004,142.550003
2021-06-22,284.820007,142.220001
2021-06-23,287.119995,143.820007
2021-06-24,286.51001,142.839996
2021-06-25,289.519989,145.490005
2021-06-26,289.459991,145.229996
2021-06-27,288.329987,145.580002
2021-06-28,286.440002,148.679993
2021-06-29,286.950012,150.009995
2021-06-30,289.809998,149.059998
2021-07-01,292.850006,149.529999
2021-07-02,294.600006,150.75
2021-07-03,293.079987,150.699997
2021-07-04,290.730011,149.100006
2021-07-05,296.769989,150.110001
2021-07-06,304.359985,151.449997
2021-07-07,304.649994,150.449997
2021-07-08,302.619995,148.899994
2021-07-09,302.01001,148.960007
2021-07-10,299.089996,147.350006
2021-07-11,299.720001,146.520004
2021-07-12,303.589996,147.699997
2021-07-13,301.880005,148.100006
2021-07-14,301.829987,147.779999
2021-07-15,301.149994,148.559998
2021-07-16,301.140015,149.25
2021-07-17,300.179993,147.270004
2021-07-18,300.209991,147.460007
2021-07-19,297.25,146.419998
2021-07-20,295.709991,145.889999
2021-07-21,296.98999,145.059998
2021-07-22,299.790009,144.300003
2021-07-23,304.820007,144.550003
2021-07-24,305.220001,145.029999
2021-07-25,299.869995,144.729996
